ID,round,code_final,code_mid,who,container,batch_number,fridge,worm_species,worm_number,fungi_species,fungi_density_1,fungi_density_2,fungi_density_3,bacteria_species,bacteria_density_1,bacteria_density_2,premix,mineral_1_type,mineral_1_grainsize,mineral_1_ratio,mineral_2_type,mineral_2_grainsize,mineral_2_ratio,mineral_3_type,mineral_3_grainsize,mineral_3_ratio,mineral_check,organic_matter_type,addition_nitrogen_mmol_l,addition_phosphorus_mmol_l,enzyme1_species,enzyme1_density,enzyme2_species,enzyme2_density,enzyme3_species,enzyme3_density,enzyme_dosing_frequency,chelates_type,chelates_concentration_uM,water_flowrate_text,water_frequency,biochar,status,weight_mid_total_kg,EC_mid_uScm,pH_mid,temperature_mid_degC,weight_final_total_kg,EC_final_uScm,pH_final,temperature_final_degC,pco2_container_ppm,precipitation,alkalinity_forst_mid_umol_l,alkalinity_geomar_mid_umol_l,alkalinity_forst_final_umol_l,alkalinity_geomar_final_umol_l,DIC_mid_mg_l,DIC_final_mg_l,DOC_mid_mg_l,DOC_final_mg_l,ICP_Al_ug_l,ICP_Cd_ug_l,ICP_Cu_ug_l,ICP_Fe_ug_l,ICP_Li_ug_l,ICP_Mn_ug_l,ICP_Ni_ug_l,ICP_Sr_ug_l,ICP_Zn_ug_l,ICP_Ca_mg_l,ICP_K_mg_l,ICP_Mg_mg_l,ICP_Na_mg_l,ICP_P_mg_l,ICP_Si_mg_l,DSi_umol_l,analysis,LOI_C%,IC_mid_Li_umol_l,IC_mid_Na_umol_l,IC_mid_NH4_umol_l,IC_mid_K_umol_l,IC_mid_Ca_umol_l,IC_mid_Mg_umol_l,IC_mid_F_umol_l,IC_mid_Cl_umol_l,IC_mid_NO2_umol_l,IC_mid_Br_umol_l,IC_mid_NO3_umol_l,IC_mid_PO4_umol_l,IC_mid_SO4_umol_l,IC_final_Li_umol_l,IC_final_Na_umol_l,IC_final_NH4_umol_l,IC_final_K_umol_l,IC_final_Ca_umol_l,IC_final_Mg_umol_l,IC_final_F_umol_l,IC_final_Cl_umol_l,IC_final_NO2_umol_l,IC_final_Br_umol_l,IC_final_NO3_umol_l,IC_final_PO4_umol_l,IC_final_SO4_umol_l
11,1,1F-011,1M-011,Reinaldy,10,11,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,0.063,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.074825924,643,8.894,,3.17,445,8.049,,,,4462.2,4551.84,3295.6,3444.53,,38.737,,0,8.2,0.145,0.86,2.6,0.77,0.88,1.96,91.9,0.6,9.6,10.2,7.31,,0.02,11.9,,Yes,0.110972211,NA,5151.4,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,725.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12,1,1F-012,1M-012,Reinaldy,10,12,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,1 to 3,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.24827957,298,8.045,,2.93,301,8.22,,,,2165.1,2175.31,2170.1,2402.39,,23.873,,0,1.8,0.034,0.49,0.6,0.73,0.02,1.76,81.3,0.4,14,6.9,18,,0,9.41,,Yes,0.062578037,NA,635.35,NA,235.92,456.41,889.33,87.71,390.2,30.84,NA,22.32,NA,306.19,NA,535.26,NA,235.92,456.41,889.33,87.71,390.2,30.84,NA,22.32,NA,220.81
13,1,1F-013,1M-013,Reinaldy,10,13,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Dunite,No.11 (0.063),100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.265663,854,9.095,,3.4,491,8.605,,,,9253.3,9306.6,4473.2,4600.62,,50.555,,0,-0.2,-0.001,0.06,0,0.71,-0.1,0.48,495,0.7,5.2,35.6,33.4,,0,0.449,,Yes,0.035522021,NA,2121.67,NA,999.04,139.21,1605.2,NA,415.89,47.83,NA,26.04,NA,165.32,NA,964.19,NA,999.04,139.21,1605.2,NA,415.89,47.83,NA,26.04,NA,92.77
14,1,1F-014,1M-014,Reinaldy,10,14,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Dunite,AFS 80 (0.125),100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.263785063,292,9.046,,3.97,246,8.056,,,,2850.9,3045.65,2104.8,2306.28,,24.472,,0,-0.1,0.001,0.14,0.6,1.54,0.41,1.17,141,0.3,13,10.4,13.5,,0,5.48,,Yes,0.000426941,NA,696.44,NA,297.27,428.07,684.8,43.31,291.84,NA,NA,NA,NA,65.6,NA,419.1,NA,297.27,428.07,684.8,43.31,291.84,NA,NA,NA,NA,80.86
15,1,1F-015,1M-015,Reinaldy,10,15,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Dunite,AFS 20 (1),100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.091495467,293,9.065,,3.04,298,8.147,,,,3205.2,3378.51,2471.6,2673.09,,27.133,,0,-0.2,0,0.39,0.8,1.75,0.26,1.22,173,0.4,19.1,10.6,13.4,,0,5.57,,Yes,0.002520881,NA,674.92,NA,290.27,607,648.92,NA,385.28,30.16,NA,13.67,NA,64.83,NA,517.08,NA,290.27,607,648.92,NA,385.28,30.16,NA,13.67,NA,95.65
16,1,1F-016,1M-016,Reinaldy,10,16,1,A._caliginosa_A._chlorotica,10,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0.063,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.226417411,738,8.21,,2.48,674,8.448,,,,6303.4,6382.88,5750.5,5949.65,,68.93,,5.853,4.7,0.157,2.16,15.3,3.07,119,4.35,190,1,40.6,58.4,20.1,,1.25,13.6,,Yes,-0.005273047,#N/A,#N/A,#N/A,1636.23,1208.9,945.13,159.54,543.78,35.08,NA,NA,NA,#N/A,NA,1478.41,NA,1636.23,1208.9,945.13,159.54,543.78,35.08,NA,NA,NA,294.67
17,1,1F-017,1M-017,Reinaldy,10,17,1,A._caliginosa_A._chlorotica,10,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0 to 2,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.260400488,330,7.827,,4.22,283,7.918,,,,1903.7,1914.54,1992.5,2251.08,,22.986,,1.098,20,0.028,3.32,25.3,1.58,9.28,2,120,1,34.3,9.4,3.83,,0.95,8.61,,Yes,-0.005322167,NA,400.68,NA,268.69,1059.92,150.63,87.53,337.55,NA,NA,55.68,NA,393.25,NA,346.5,NA,268.69,1059.92,150.63,87.53,337.55,NA,NA,55.68,NA,194.83
18,1,1F-018,1M-018,Reinaldy,10,18,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,0.063,50,Dunite,No.11 (0.063),50,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.146074861,713,9.42,,3.97,516,8.248,,,,6119.2,6214.34,4407.7,4534.65,,48.553,,0,1.1,0.055,1.05,0.1,1.24,0.05,3.58,68,0.3,11.2,20.6,26.4,,0.01,6.18,,Yes,0.081091203,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,1,1F-019,1M-019,Reinaldy,5,19,2,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,0.063,50,Dunite,No.11 (0.063),50,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.780936179,1020,8.805,,1.56,532,8.478,,,,9103.6,9170.98,4857.6,4959.66,,49.688,,0,2.8,0.09,0.13,0,0.66,-0.11,0.31,41.6,0.3,3.2,26.4,12.7,,0,5.36,,Yes,0.080666453,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,1,1F-020,1M-020,Reinaldy,5,20,2,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0.063,50,Dunite,AFS 20 (1),50,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.874173878,443,8.277,,1.81,326,7.984,,,,3576.5,3766.02,2492.7,2642.66,,27.311,,0,41.4,0.013,0.49,2.5,0.94,0.07,0.32,49.2,1.7,12.4,28.4,10.5,,0.01,5.68,,Yes,0.002202362,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21,1,1F-021,1M-021,Reinaldy,5,21,2,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,0.063,50,Dunite,AFS 20 (1),50,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.696265022,647,8.499,,1.33,444,8.252,,,,4640.6,4801.45,3273.4,3441.94,,39.951,,0,7.9,0.126,0.29,1,0.84,0.06,0.98,76.1,0.6,7.6,11.8,7.59,,0.01,10.1,,Yes,0.065629825,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22,1,1F-022,1M-022,Reinaldy,5,22,2,A._caliginosa_A._chlorotica,10,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0.063,50,Dunite,No.11 (0.063),50,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.861973149,1216,8.686,,1.81,859,8.397,,,,10575.8,10642.61,8231.3,8282.75,,92.1,,0,3,0.067,5.38,2.1,1.73,0.19,15.3,78.5,1,17.2,52.5,63.5,,0.17,5.76,,Yes,0.014770205,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,1,1F-023,1M-023,Reinaldy,5,23,2,A._caliginosa_A._chlorotica,10,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,0.063,50,Dunite,No.11 (0.063),50,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.840394857,596,8.321,,1.75,794,8.55,,,,4133.2,4276.76,6757.2,6811.37,,75.238,,0,1.5,0.083,4.29,0.8,1.25,0.11,6.98,48.7,0.2,13.1,27.8,50.7,,0.17,6.56,,Yes,0.069520444,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
24,1,1F-024,1M-024,Reinaldy,5,24,2,A._caliginosa_A._chlorotica,10,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0.063,50,Dunite,AFS 20 (1),50,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.829578251,909,8.451,,1.67,650,8.367,,,,6742.2,6846.11,5547.3,5571.08,,63.955,,0,36.5,0.118,5.51,15.8,2.26,0.47,7.53,169,1,33.9,37.6,35.8,,0.89,11.7,,Yes,-0.000475294,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,1,1F-025,1M-025,Reinaldy,5,25,2,A._caliginosa_A._chlorotica,10,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,0.063,50,Dunite,AFS 20 (1),50,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.728332768,1105,8.601,,1.38,701,8.353,,,,7712.2,7828.22,5674.7,5764.1,,62.49,,0,1.8,0.112,2.34,1.2,2.09,0.02,5.1,211,0.6,20.3,20.5,33.2,,0.31,10.5,,Yes,0.064236589,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26,1,1F-026,1M-026,Reinaldy,5,26,2,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0 to 2,50,Dunite,No.11 (0.063),50,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.727196959,784,8.87,,1.94,429,8.412,,,,8344.4,8408.26,3947.8,3976.51,,40.688,,0,0.3,0.001,0.05,0,1.09,0.06,0.73,232,0.3,3.4,42,21.7,,0,1.91,,Yes,0.015096676,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
